gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score
0,0,0,1,1,82,93,93,89.33333333333333
0,2,2,1,1,60,68,72,66.66666666666667
0,4,1,1,1,37,45,38,40.0
1,3,1,1,1,88,78,83,83.0
1,3,3,1,1,95,81,84,86.66666666666667
1,2,0,0,0,65,73,68,68.66666666666667
0,2,2,0,1,35,61,54,50.0
1,1,1,0,1,62,63,56,60.333333333333336
1,2,2,0,0,58,51,52,53.666666666666664
1,0,4,1,0,100,96,86,94.0
0,4,1,0,1,61,58,62,60.333333333333336
1,3,4,1,0,100,97,99,98.66666666666667
1,1,0,0,0,69,70,63,67.33333333333333
1,3,0,1,1,61,48,46,51.666666666666664
1,3,4,0,1,49,57,46,50.666666666666664
0,2,5,1,0,44,51,55,50.0
1,3,4,1,1,67,64,70,67.0
1,1,2,1,1,79,60,65,68.0
0,1,1,1,0,66,74,81,73.66666666666667
0,2,2,1,1,75,88,85,82.66666666666667
1,3,5,1,1,84,84,80,82.66666666666667
1,0,2,1,1,71,74,64,69.66666666666667
0,1,2,0,0,67,80,81,76.0
0,3,5,1,0,80,92,88,86.66666666666667
1,4,4,1,1,86,76,74,78.66666666666667
0,3,0,1,1,76,74,73,74.33333333333333
1,3,2,1,1,41,52,51,48.0
0,3,0,0,0,74,88,90,84.0
0,1,5,0,1,72,81,79,77.33333333333333
0,4,2,1,0,74,79,80,77.66666666666667
1,1,2,1,1,70,65,60,65.0
0,1,1,1,0,65,81,81,75.66666666666667
0,3,0,1,1,59,70,65,64.66666666666667
0,4,2,0,1,64,62,68,64.66666666666667
0,1,2,1,1,50,53,55,52.666666666666664
0,3,4,1,0,69,79,81,76.33333333333333
1,2,5,0,0,51,56,53,53.333333333333336
0,0,2,1,0,68,80,76,74.66666666666667
0,3,4,1,0,85,86,98,89.66666666666667
0,0,0,1,0,65,70,74,69.66666666666667
0,1,5,1,1,73,79,79,77.0
0,1,4,1,1,62,67,67,65.33333333333333
1,2,0,0,1,77,67,64,69.33333333333333
1,3,5,1,1,69,66,61,65.33333333333333
0,3,0,0,1,43,60,58,53.666666666666664
1,3,0,1,1,90,87,85,87.33333333333333
1,2,4,0,1,74,77,73,74.66666666666667
1,2,5,1,1,73,66,63,67.33333333333333
0,3,4,0,1,55,71,69,65.0
0,2,2,1,1,65,69,67,67.0
1,3,0,1,1,80,63,63,68.66666666666667
0,2,5,0,0,50,60,60,56.666666666666664
0,2,4,0,0,63,73,71,69.0
0,1,1,0,1,77,85,87,83.0
1,2,4,1,1,73,74,61,69.33333333333333
1,3,0,1,0,81,72,77,76.66666666666667
0,2,2,0,1,66,76,68,70.0
1,3,0,0,1,52,57,50,53.0
0,2,4,1,1,69,78,76,74.33333333333333
0,2,0,1,0,65,84,84,77.66666666666667
0,3,2,1,0,69,77,78,74.66666666666667
0,1,4,1,0,50,64,66,60.0
0,4,4,1,0,73,78,76,75.66666666666667
0,2,5,1,0,70,82,76,76.0
1,3,0,0,1,81,75,78,78.0
1,3,4,0,1,63,61,60,61.333333333333336
0,3,2,1,1,67,72,74,71.0
1,1,2,1,1,60,68,60,62.666666666666664
1,1,2,1,1,62,55,54,57.0
0,2,5,0,0,29,40,44,37.666666666666664
1,1,4,1,0,62,66,68,65.33333333333333
0,4,3,1,0,94,99,100,97.66666666666667
1,4,4,1,0,85,75,68,76.0
1,3,0,0,1,77,78,73,76.0
1,0,2,0,1,53,58,44,51.666666666666664
1,4,4,0,1,93,90,83,88.66666666666667
0,2,0,1,1,49,53,53,51.666666666666664
0,4,0,0,1,73,76,78,75.66666666666667
0,2,1,0,0,66,74,81,73.66666666666667
0,3,0,1,1,77,77,73,75.66666666666667
0,2,5,1,1,49,63,56,56.0
0,3,4,0,1,79,89,86,84.66666666666667
0,2,0,1,0,75,82,90,82.33333333333333
0,0,1,1,1,59,72,70,67.0
0,3,0,1,0,57,78,79,71.33333333333333
1,2,2,0,1,66,66,59,63.666666666666664
0,4,1,1,0,79,81,82,80.66666666666667
0,1,5,1,1,57,67,72,65.33333333333333
1,0,1,1,0,87,84,87,86.0
0,3,4,1,1,63,64,67,64.66666666666667
0,1,5,0,0,59,63,64,62.0
1,0,1,0,1,62,72,65,66.33333333333333
1,3,2,1,1,46,34,36,38.666666666666664
1,2,4,1,1,66,59,52,59.0
1,3,2,1,1,89,87,79,85.0
0,3,0,0,0,42,61,58,53.666666666666664
1,2,4,1,0,93,84,90,89.0
0,4,5,1,0,80,85,85,83.33333333333333
0,3,4,1,1,98,100,99,99.0
1,3,3,1,1,81,81,84,82.0
0,1,5,1,0,60,70,74,68.0
0,1,0,0,0,76,94,87,85.66666666666667
1,2,0,1,0,73,78,72,74.33333333333333
0,2,0,1,0,96,96,99,97.0
0,2,2,1,1,76,76,74,75.33333333333333
1,4,0,0,0,91,73,80,81.33333333333333
0,2,4,0,1,62,72,70,68.0
1,3,5,0,0,55,59,59,57.666666666666664
0,1,5,0,0,74,90,88,84.0
1,2,2,1,1,50,48,42,46.666666666666664
1,1,4,1,1,47,43,41,43.666666666666664
1,4,4,1,0,81,74,71,75.33333333333333
0,4,0,1,0,65,75,77,72.33333333333333
1,4,5,1,0,68,51,57,58.666666666666664
0,3,2,0,1,73,92,84,83.0
1,2,4,1,1,53,39,37,43.0
0,1,0,0,0,68,77,80,75.0
1,0,5,0,1,55,46,43,48.0
0,2,4,1,0,87,89,94,90.0
1,3,5,1,1,55,47,44,48.666666666666664
0,4,4,0,1,53,58,57,56.0
1,2,3,1,1,67,57,59,61.0
1,2,0,1,1,92,79,84,85.0
0,1,4,0,0,53,66,73,64.0
1,3,0,1,1,81,71,73,75.0
1,2,2,0,1,61,60,55,58.666666666666664
1,3,1,1,1,80,73,72,75.0
0,0,0,0,1,37,57,56,50.0
0,2,2,1,1,81,84,82,82.33333333333333
0,2,0,1,0,59,73,72,68.0
1,1,4,0,1,55,55,47,52.333333333333336
1,3,0,1,1,72,79,74,75.0
1,3,2,1,1,69,75,71,71.66666666666667
1,2,4,1,1,69,64,68,67.0
0,2,1,0,1,50,60,59,56.333333333333336
1,1,4,1,0,87,84,86,85.66666666666667
1,3,5,1,0,71,69,68,69.33333333333333
1,4,4,1,1,68,72,65,68.33333333333333
1,2,3,0,0,79,77,75,77.0
0,2,5,1,0,77,90,85,84.0
1,2,0,0,1,58,55,53,55.333333333333336
0,4,0,1,1,84,95,92,90.33333333333333
1,3,4,1,1,55,58,52,55.0
1,4,1,0,0,70,68,72,70.0
0,3,4,0,0,52,59,65,58.666666666666664
1,1,4,1,0,69,77,77,74.33333333333333
0,2,2,0,1,53,72,64,63.0
0,3,5,1,1,48,58,54,53.333333333333336
1,3,5,1,0,78,81,86,81.66666666666667
0,1,2,1,1,62,62,63,62.333333333333336
1,3,4,1,1,60,63,59,60.666666666666664
0,1,2,1,1,74,72,72,72.66666666666667
0,2,2,1,0,58,75,77,70.0
1,1,2,1,0,76,62,60,66.0
0,3,5,1,1,68,71,75,71.33333333333333
1,0,4,0,1,58,60,57,58.333333333333336
1,1,2,1,1,52,48,49,49.666666666666664
1,3,1,1,1,75,73,74,74.0
0,1,5,0,0,52,67,72,63.666666666666664
0,2,1,0,1,62,78,79,73.0
1,1,4,1,1,66,65,60,63.666666666666664
0,1,5,0,1,49,58,55,54.0
0,1,2,1,1,66,72,70,69.33333333333333
0,2,4,0,1,35,44,43,40.666666666666664
0,0,4,1,0,72,79,82,77.66666666666667
1,4,0,1,0,94,85,82,87.0
0,3,0,0,1,46,56,57,53.0
0,1,3,1,1,77,90,84,83.66666666666667
0,1,2,0,0,76,85,82,81.0
0,2,0,1,0,52,59,62,57.666666666666664
1,2,1,1,0,91,81,79,83.66666666666667
0,1,5,1,0,32,51,44,42.333333333333336
0,4,5,0,1,72,79,77,76.0
0,1,4,1,1,19,38,32,29.666666666666668
1,2,0,0,1,68,65,61,64.66666666666667
0,2,3,0,1,52,65,61,59.333333333333336
0,1,2,1,1,48,62,60,56.666666666666664
0,3,4,0,1,60,66,70,65.33333333333333
1,3,2,0,1,66,74,69,69.66666666666667
1,4,5,1,0,89,84,77,83.33333333333333
0,1,2,1,1,42,52,51,48.333333333333336
0,4,0,0,0,57,68,73,66.0
1,3,2,1,1,70,70,70,70.0
0,4,0,0,1,70,84,81,78.33333333333333
1,4,4,1,1,69,60,54,61.0
0,2,0,1,1,52,55,57,54.666666666666664
1,2,5,1,0,67,73,68,69.33333333333333
1,2,5,1,0,76,80,73,76.33333333333333
0,4,0,1,1,87,94,95,92.0
0,1,4,1,1,82,85,87,84.66666666666667
0,2,4,1,1,73,76,78,75.66666666666667
1,0,4,0,1,75,81,74,76.66666666666667
0,3,4,0,1,64,74,75,71.0
0,4,2,0,1,41,45,40,42.0
1,2,2,1,1,90,75,69,78.0
1,1,1,1,1,59,54,51,54.666666666666664
1,0,5,1,1,51,31,36,39.333333333333336
1,0,2,0,1,45,47,49,47.0
0,2,3,1,0,54,64,67,61.666666666666664
1,4,5,1,0,87,84,76,82.33333333333333
0,2,2,1,1,72,80,83,78.33333333333333
1,1,5,1,0,94,86,87,89.0
0,0,1,1,1,45,59,64,56.0
1,3,1,0,0,61,70,76,69.0
0,1,2,0,1,60,72,68,66.66666666666667
0,2,5,1,1,77,91,88,85.33333333333333
0,0,5,1,0,85,90,92,89.0
0,3,1,0,1,78,90,93,87.0
1,4,4,0,0,49,52,51,50.666666666666664
0,1,2,0,1,71,87,82,80.0
0,2,5,0,1,48,58,52,52.666666666666664
1,2,2,1,1,62,67,58,62.333333333333336
0,2,0,0,0,56,68,70,64.66666666666667
0,2,5,1,1,65,69,76,70.0
0,3,5,0,0,69,86,81,78.66666666666667
1,1,5,1,1,68,54,53,58.333333333333336
0,0,4,0,1,61,60,57,59.333333333333336
0,2,1,0,0,74,86,89,83.0
1,0,1,1,1,64,60,58,60.666666666666664
0,1,2,1,0,77,82,89,82.66666666666667
1,1,4,1,1,58,50,45,51.0
0,2,2,1,0,60,64,74,66.0
1,4,2,1,1,73,64,57,64.66666666666667
0,0,2,1,0,75,82,79,78.66666666666667
1,1,0,0,0,58,57,53,56.0
0,2,0,1,1,66,77,73,72.0
0,3,2,0,1,39,52,46,45.666666666666664
1,2,5,1,1,64,58,51,57.666666666666664
0,1,2,0,0,23,44,36,34.333333333333336
1,1,4,0,0,74,77,76,75.66666666666667
0,3,5,0,0,40,65,64,56.333333333333336
1,4,3,1,1,90,85,84,86.33333333333333
1,2,3,1,0,91,85,85,87.0
1,3,2,1,1,64,54,50,56.0
0,2,2,1,1,59,72,68,66.33333333333333
1,3,0,1,1,80,75,69,74.66666666666667
1,2,3,1,1,71,67,67,68.33333333333333
0,0,2,1,1,61,68,63,64.0
0,4,4,1,1,87,85,93,88.33333333333333
1,4,5,1,1,82,67,61,70.0
1,2,5,1,1,62,64,55,60.333333333333336
0,1,1,1,1,97,97,96,96.66666666666667
1,1,4,0,1,75,68,65,69.33333333333333
0,2,1,1,1,65,79,81,75.0
1,1,2,1,0,52,49,46,49.0
1,2,0,0,1,87,73,72,77.33333333333333
0,2,0,1,1,53,62,53,56.0
0,4,3,0,1,81,86,87,84.66666666666667
1,3,1,0,0,39,42,38,39.666666666666664
0,2,4,1,0,71,71,80,74.0
1,2,0,1,1,97,93,91,93.66666666666667
1,3,4,1,0,82,82,88,84.0
1,2,2,0,1,59,53,52,54.666666666666664
1,1,0,1,1,61,42,41,48.0
1,4,0,0,0,78,74,72,74.66666666666667
1,2,0,0,1,49,51,51,50.333333333333336
1,1,2,1,1,59,58,47,54.666666666666664
0,2,4,1,0,70,72,76,72.66666666666667
1,1,0,1,0,82,84,78,81.33333333333333
1,4,0,0,1,90,90,82,87.33333333333333
0,2,1,0,1,43,62,61,55.333333333333336
1,2,4,0,1,80,64,66,70.0
1,3,4,1,1,81,82,84,82.33333333333333
1,2,5,1,1,57,61,54,57.333333333333336
0,3,5,1,1,59,72,80,70.33333333333333
0,3,0,1,1,64,76,74,71.33333333333333
1,2,1,1,0,63,64,66,64.33333333333333
0,4,1,1,0,71,70,70,70.33333333333333
0,1,2,0,1,64,73,71,69.33333333333333
1,3,1,0,1,55,46,44,48.333333333333336
0,4,0,1,1,51,51,54,52.0
0,2,0,1,0,62,76,80,72.66666666666667
0,4,0,1,0,93,100,95,96.0
1,2,2,0,1,54,72,59,61.666666666666664
0,3,4,0,1,69,65,74,69.33333333333333
1,3,2,0,1,44,51,48,47.666666666666664
0,4,4,1,0,86,85,91,87.33333333333333
0,4,0,1,1,85,92,85,87.33333333333333
0,0,3,0,1,50,67,73,63.333333333333336
1,3,5,1,0,88,74,75,79.0
0,4,0,1,1,59,62,69,63.333333333333336
0,4,5,0,1,32,34,38,34.666666666666664
1,1,2,0,1,36,29,27,30.666666666666668
0,1,5,0,0,63,78,79,73.33333333333333
1,3,0,1,0,67,54,63,61.333333333333336
0,3,5,1,0,65,78,82,75.0
1,3,3,1,1,85,84,89,86.0
0,2,3,1,1,73,78,74,75.0
0,0,2,0,0,34,48,41,41.0
0,3,1,0,0,93,100,100,97.66666666666667
0,3,5,0,1,67,84,84,78.33333333333333
1,3,4,1,1,88,77,77,80.66666666666667
1,1,2,1,1,57,48,51,52.0
0,3,4,1,0,79,84,91,84.66666666666667
0,2,1,0,1,67,75,72,71.33333333333333
1,4,1,1,0,70,64,70,68.0
1,3,1,0,1,50,42,48,46.666666666666664
0,0,4,1,1,69,84,82,78.33333333333333
0,2,1,1,0,52,61,66,59.666666666666664
0,2,1,0,0,47,62,66,58.333333333333336
0,1,0,0,1,46,61,55,54.0
0,4,4,1,1,68,70,66,68.0
1,4,1,1,0,100,100,100,100.0
0,2,2,1,1,44,61,52,52.333333333333336
0,2,0,1,0,57,77,80,71.33333333333333
1,1,4,1,0,91,96,91,92.66666666666667
1,3,2,0,1,69,70,67,68.66666666666667
0,2,2,0,1,35,53,46,44.666666666666664
1,3,2,1,1,72,66,66,68.0
0,1,0,0,1,54,65,65,61.333333333333336
1,3,2,0,1,74,70,69,71.0
1,4,5,1,0,74,64,60,66.0
1,4,0,0,1,64,56,52,57.333333333333336
0,3,2,0,0,65,61,71,65.66666666666667
1,4,0,0,0,46,43,44,44.333333333333336
0,2,5,0,1,48,56,51,51.666666666666664
1,2,4,0,0,67,74,70,70.33333333333333
1,3,4,0,1,62,57,62,60.333333333333336
1,3,0,0,0,61,71,73,68.33333333333333
1,2,1,0,0,70,75,74,73.0
1,2,0,1,0,98,87,90,91.66666666666667
1,3,4,0,1,70,63,58,63.666666666666664
1,0,0,1,1,67,57,53,59.0
0,4,2,0,1,57,58,57,57.333333333333336
1,3,4,1,0,85,81,85,83.66666666666667
1,3,5,1,0,77,68,69,71.33333333333333
1,2,3,0,0,72,66,72,70.0
0,3,3,1,1,78,91,96,88.33333333333333
1,2,2,1,1,81,66,64,70.33333333333333
1,0,5,0,0,61,62,61,61.333333333333336
0,1,2,1,1,58,68,61,62.333333333333336
0,2,0,1,1,54,61,58,57.666666666666664
1,1,2,1,1,82,82,80,81.33333333333333
0,3,4,0,1,49,58,60,55.666666666666664
1,1,5,0,0,49,50,52,50.333333333333336
0,4,2,0,0,57,75,73,68.33333333333333
1,4,2,1,1,94,73,71,79.33333333333333
0,3,4,1,0,75,77,83,78.33333333333333
0,4,5,0,1,74,74,72,73.33333333333333
1,2,2,1,0,58,52,54,54.666666666666664
0,2,4,1,1,62,69,69,66.66666666666667
1,4,0,1,1,72,57,62,63.666666666666664
1,2,4,1,1,84,87,81,84.0
0,3,3,1,1,92,100,100,97.33333333333333
0,3,2,1,1,45,63,59,55.666666666666664
1,2,2,1,1,75,81,71,75.66666666666667
0,0,4,1,1,56,58,64,59.333333333333336
0,3,5,0,1,48,54,53,51.666666666666664
0,4,0,1,1,100,100,100,100.0
0,2,5,0,0,65,76,75,72.0
1,3,4,1,1,72,57,58,62.333333333333336
0,3,4,1,1,62,70,72,68.0
1,0,5,1,0,66,68,64,66.0
1,2,4,1,1,63,63,60,62.0
0,4,0,1,1,68,76,67,70.33333333333333
0,1,1,1,1,75,84,80,79.66666666666667
0,3,1,1,1,89,100,100,96.33333333333333
1,2,5,1,0,78,72,69,73.0
0,0,2,0,0,53,50,60,54.333333333333336
0,3,4,0,1,49,65,61,58.333333333333336
0,0,4,1,1,54,63,67,61.333333333333336
0,2,4,1,0,64,82,77,74.33333333333333
1,1,4,0,0,60,62,60,60.666666666666664
1,2,0,1,1,62,65,58,61.666666666666664
1,3,2,1,0,55,41,48,48.0
0,2,0,1,1,91,95,94,93.33333333333333
0,1,2,0,1,8,24,23,18.333333333333332
1,3,5,1,1,81,78,78,79.0
1,1,5,1,0,79,85,86,83.33333333333333
0,0,4,1,0,78,87,91,85.33333333333333
0,2,5,1,1,74,75,82,77.0
1,0,2,1,1,57,51,54,54.0
0,2,0,1,1,40,59,51,50.0
1,4,5,1,0,81,75,76,77.33333333333333
0,0,5,0,1,44,45,45,44.666666666666664
0,3,4,0,0,67,86,83,78.66666666666667
1,4,2,0,0,86,81,75,80.66666666666667
0,1,5,1,0,65,82,78,75.0
0,3,0,0,1,55,76,76,69.0
0,3,1,0,1,62,72,74,69.33333333333333
1,0,2,1,1,63,63,62,62.666666666666664
0,4,3,1,0,88,99,95,94.0
1,2,2,0,1,62,55,55,57.333333333333336
0,2,2,0,0,59,71,65,65.0
0,3,4,1,0,68,78,77,74.33333333333333
0,3,4,0,1,77,86,86,83.0
